info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                Category                                   OS     
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130907-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20130928-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131022-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131112-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131116-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131123-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131203-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20131214-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_04-amd64-server-20140107-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20130808-alpha3-en-us-30GB                              Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20130905-beta1-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20130925-beta2-en-us-30GB                               Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20131015-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20131113-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20131204-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20131215-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-13_10-amd64-server-20140108-en-us-30GB                                     Canonical                                  Linux  
data:    b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu_DAILY_BUILD-precise-12_04_3-LTS-amd64-server-20131125-en-us-30GB           Canonical                                  Linux  
